urls,names,bio,birth,death,age,place
"https://ru.wikipedia.org/wiki/%D0%9B%D0%B0%D0%BD%D0%BE%D0%B2%D0%BE%D0%B9,_%D0%92%D0%B0%D1%81%D0%B8%D0%BB%D0%B8%D0%B9_%D0%A1%D0%B5%D0%BC%D1%91%D0%BD%D0%BE%D0%B2%D0%B8%D1%87","Лановой, Василий Семёнович","Васи́лий Семёнович Ланово́й (16 января 1934, Москва — 28 января 2021[1], Москва) — советский и российский актёр театра и кино, мастер художественного слова (чтец), общественный деятель, театральный педагог. Артист Государственного академического театра им. Е. Вахтангова (1957—2021). Герой Труда Российской Федерации (2019), народный артист СССР (1985)[2], лауреат Ленинской премии (1980). Почётный гражданин Москвы (2020).",16.01.1934,28.01.2021,87,Москва
"https://ru.wikipedia.org/wiki/%D0%91%D0%B5%D0%BB%D0%BE%D1%86%D0%B5%D1%80%D0%BA%D0%BE%D0%B2%D1%81%D0%BA%D0%B8%D0%B9,_%D0%9C%D0%B8%D1%85%D0%B0%D0%B8%D0%BB_%D0%9B%D0%B0%D0%B7%D0%B0%D1%80%D0%B5%D0%B2%D0%B8%D1%87","Белоцерковский, Михаил Лазаревич","Михаи́л Ла́заревич Белоцерко́вский (8 октября 1944, Москва — 28 января 2021, Тверь) — российский театральный фотограф.",08.10.1944,28.01.2021,76,Тверь
"https://ru.wikipedia.org/wiki/%D0%9A%D0%BE%D0%B2%D0%B0%D0%BB%D1%8C,_%D0%92%D0%B8%D0%BA%D1%82%D0%BE%D1%80_%D0%A1%D1%82%D0%B0%D0%BD%D0%B8%D1%81%D0%BB%D0%B0%D0%B2%D0%BE%D0%B2%D0%B8%D1%87","Коваль, Виктор Станиславович","Ви́ктор Станисла́вович Кова́ль (29 сентября 1947, Москва — 1 февраля 2021, там же) — русский поэт, прозаик, художник, актёр кино. Известны также песни на его стихи, исполнявшиеся Андреем Липским.",29.09.1947,01.02.2021,73,Москва
"https://ru.wikipedia.org/wiki/%D0%A4%D0%B8%D0%BB%D0%B0%D1%82%D0%BE%D0%B2,_%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B9_%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B5%D0%B2%D0%B8%D1%87_(%D0%BC%D0%B5%D0%B4%D0%B8%D0%BA)","Филатов, Николай Николаевич (медик)","Никола́й Никола́евич Фила́тов (28 мая 1954, Северо-Задонск — 4 февраля 2021, Москва[1]) — советский и российский учёный, профессор, доктор медицинских наук, член-корреспондент РАН c 2016 года. Заместитель директора по науке НИИ вакцин и сывороток имени Мечникова, заведующий кафедрой эпидемиологии Сеченовского университета. С конца 1980-х годов до 2012 года — главный санитарный врач Москвы[1][2].",28.05.1954,04.02.2021,66,Москва
"https://ru.wikipedia.org/wiki/%D0%90%D0%BA%D0%BA%D1%83%D1%87%D1%83%D0%BA%D0%BE%D0%B2%D0%B0,_%D0%A0%D0%BE%D0%B7%D0%B0_%D0%A1%D0%B0%D0%B1%D0%B8%D1%80%D1%8C%D1%8F%D0%BD%D0%BE%D0%B2%D0%BD%D0%B0","Аккучукова, Роза Сабирьяновна","Роза Сабирьяновна Аккучукова (12 февраля 1950, Абзаково, СССР — 8 февраля 2021, Уфа, Россия[3]) — певица, народная артистка Башкортостана (2009).",12.02.1950,08.02.2021,70,Уфа
"https://ru.wikipedia.org/wiki/%D0%A0%D0%BE%D0%BC%D0%B0%D0%BD%D0%BE%D0%B2%D1%81%D0%BA%D0%B8%D0%B9,_%D0%98%D0%BE%D1%81%D0%B8%D1%84_%D0%92%D0%BB%D0%B0%D0%B4%D0%B8%D0%BC%D0%B8%D1%80%D0%BE%D0%B2%D0%B8%D1%87","Романовский, Иосиф Владимирович","Романо́вский Ио́сиф Влади́мирович (10 декабря 1935, Ленинград — 24 февраля 2021, Санкт-Петербург) — советский и российский математик и программист, доктор физико-математических наук, профессор, заведующий кафедрой исследования операций математико-механического факультета СПбГУ. Автор большого количества научных публикаций и книг[1].",10.12.1935,24.02.2021,85,Санкт-Петербург
"https://ru.wikipedia.org/wiki/%D0%9A%D0%B5%D0%BB%D1%8C%D0%BD%D0%B5%D1%80,_%D0%92%D0%B8%D0%BA%D1%82%D0%BE%D1%80_%D0%95%D1%84%D0%B8%D0%BC%D0%BE%D0%B2%D0%B8%D1%87","Кельнер, Виктор Ефимович","Ви́ктор Ефи́мович Ке́льнер (23 февраля 1945, Москва — 24 февраля 2021, Санкт-Петербург) — советский и российский историк.",23.02.1945,24.02.2021,76,Санкт-Петербург
"https://ru.wikipedia.org/wiki/%D0%94%D0%B0%D0%B2%D0%B8%D0%B4%D0%BE%D0%B2%D0%B8%D1%87,_%D0%90%D1%80%D0%BA%D0%B0%D0%B4%D0%B8%D0%B9_%D0%A4%D0%B8%D0%BB%D0%B8%D0%BF%D0%BF%D0%BE%D0%B2%D0%B8%D1%87","Давидович, Аркадий Филиппович","Арка́дий Давидо́вич (имя при рождении Адольф Филиппович Фрейдберг; 12 июня 1930, Воронеж — 25 февраля 2021, там же) — русский писатель, актёр, художник, афорист, автор 100 000 опубликованных афоризмов[1]; коллекционер и собиратель картин художницы Валентины Золотых, которую он считал своей музой.",12.06.1930,25.02.2021,90,Воронеж
"https://ru.wikipedia.org/wiki/%D0%97%D1%83%D0%B9%D0%BA%D0%BE%D0%B2,_%D0%92%D0%BB%D0%B0%D0%B4%D0%B8%D0%BC%D0%B8%D1%80_%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B5%D0%B2%D0%B8%D1%87","Зуйков, Владимир Николаевич","Влади́мир Никола́евич Зу́йков (27 января 1935, Москва — 25 февраля 2021, там же) — советский, российский художник-постановщик и художник-мультипликатор, график, иллюстратор. Заслуженный художник РСФСР (1989).",27.01.1935,25.02.2021,86,Москва
"https://ru.wikipedia.org/wiki/%D0%A1%D1%82%D1%83%D0%B4%D0%B5%D0%BD%D0%B5%D1%86%D0%BA%D0%B8%D0%B9,_%D0%9C%D0%B8%D1%85%D0%B0%D0%B8%D0%BB_%D0%92%D0%BB%D0%B0%D0%B4%D0%B8%D0%BC%D0%B8%D1%80%D0%BE%D0%B2%D0%B8%D1%87","Студенецкий, Михаил Владимирович","Михаи́л Влади́мирович Студене́цкий (6 марта 1934, Москва — 1 марта 2021[1]) — советский баскетболист, серебряный призёр Олимпийских игр. Заслуженный мастер спорта СССР (1956).",06.03.1934,01.03.2021,86,
