urls,names,bio,birth,death,place
"https://ru.wikipedia.org/wiki/%D0%91%D0%B5%D0%BB%D0%BE%D1%86%D0%B5%D1%80%D0%BA%D0%BE%D0%B2%D1%81%D0%BA%D0%B8%D0%B9,_%D0%9C%D0%B8%D1%85%D0%B0%D0%B8%D0%BB_%D0%9B%D0%B0%D0%B7%D0%B0%D1%80%D0%B5%D0%B2%D0%B8%D1%87","Белоцерковский, Михаил Лазаревич","Михаи́л Ла́заревич Белоцерко́вский (8 октября 1944, Москва — 28 января 2021, Тверь) — российский театральный фотограф.",8 октября 1944(1944-10-08),28 января 2021(2021-01-28) (76 лет),"Тверь, Россия"
"https://ru.wikipedia.org/wiki/%D0%91%D0%B5%D0%BB%D1%8B%D0%B9,_%D0%92%D1%8F%D1%87%D0%B5%D1%81%D0%BB%D0%B0%D0%B2_%D0%92%D0%BB%D0%B0%D0%B4%D0%B8%D0%BC%D0%B8%D1%80%D0%BE%D0%B2%D0%B8%D1%87","Белый, Вячеслав Владимирович","Вячеслав Владимирович Белый (1 августа 1945, Термез — 20 мая 2020, Москва) — советский и российский физик, доктор физико-математических наук, лауреат Государственной премии РСФСР (1991, совместно с Ириной Веретенникофф и Юрием Климонтовичем), главный научный сотрудник ИЗМИРАНа, специалист по исследованиям нестационарных явлений в ионосфере радиофизическими методами.",1 августа 1945(1945-08-01),20 мая 2020(2020-05-20) (74 года),"Москва, Россия"
"https://ru.wikipedia.org/wiki/%D0%91%D0%BE%D0%B3%D0%B4%D0%B0%D1%88%D0%B8%D0%BD,_%D0%92%D0%BB%D0%B0%D0%B4%D0%B8%D0%BC%D0%B8%D1%80_%D0%98%D0%B2%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87","Богдашин, Владимир Иванович","Владимир Иванович Богдашин (14 марта 1952, Пугачёв, Саратовская область, РСФСР, СССР — 22 июля 2021, Москва, Россия) — советский и российский военачальник, контр-адмирал, Заслуженный специалист Вооружённых Сил СССР (1991).",14 марта 1952(1952-03-14),22 июля 2021(2021-07-22) (69 лет),"Москва, Россия"
"https://ru.wikipedia.org/wiki/%D0%91%D0%BE%D0%B3%D0%BE%D0%BB%D1%8E%D0%B1%D0%BE%D0%B2,_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80_%D0%90%D0%BA%D0%B8%D0%BC%D0%BE%D0%B2%D0%B8%D1%87","Боголюбов, Александр Акимович","Александр Акимович Боголюбов (29 декабря 1934, Москва, СССР — 20 июля 2020[1], там же, Россия) — советский режиссёр кино- и мультипликационных фильмов.",29 декабря 1934(1934-12-29),20 июля 2020(2020-07-20) (85 лет),"Москва, Россия"
"https://ru.wikipedia.org/wiki/%D0%91%D0%BE%D0%B3%D0%BE%D0%BC%D0%BE%D0%BB%D0%BE%D0%B2,_%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B9_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B5%D0%B5%D0%B2%D0%B8%D1%87","Богомолов, Николай Алексеевич","Никола́й Алексе́евич Богомо́лов (16 декабря 1950, Москва — 20 ноября 2020[1], там же) — советский и российский филолог и литературовед, профессор МГУ. Доктор филологических наук (1992), профессор (1994), заведующий кафедрой литературно-художественной критики и публицистики факультета журналистики МГУ (с 1994 года). Один из авторов «Большой российской энциклопедии».",16 декабря 1950(1950-12-16),20 ноября 2020(2020-11-20) (69 лет),"Москва, Россия"
"https://ru.wikipedia.org/wiki/%D0%91%D0%BE%D0%BD%D0%BD%D0%B5%D1%80,_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80_%D0%A2%D0%B8%D0%BC%D0%BE%D1%84%D0%B5%D0%B5%D0%B2%D0%B8%D1%87","Боннер, Александр Тимофеевич","Алекса́ндр Тимофе́евич Бо́ннер (4 июня 1937, Иркутск — 8 декабря 2020, Москва[2], Москва) — советский и российский правовед, доктор юридических наук, профессор МГЮУ, заслуженный деятель науки Российской Федерации.",4 июня 1937(1937-06-04),8 декабря 2020(2020-12-08) (83 года),"Москва, Россия"
"https://ru.wikipedia.org/wiki/%D0%91%D0%BE%D1%80%D0%B8%D1%81%D0%BE%D0%B2,_%D0%9C%D0%B8%D1%85%D0%B0%D0%B8%D0%BB_%D0%91%D0%BE%D1%80%D0%B8%D1%81%D0%BE%D0%B2%D0%B8%D1%87","Борисов, Михаил Борисович","Михаи́л Бори́сович Бори́сов (настоящая фамилия Фишман-Борисов[3][4][5]; 8 февраля 1949, Москва — 19 сентября 2020, там же) — советский и российский режиссёр, телеведущий, актёр и театральный педагог. Заслуженный деятель искусств Российской Федерации (2000), профессор, кандидат психологических наук, заведующий кафедрой режиссуры Театрального института им. Б. Щукина, заведующий кафедрой эстрадного искусства Российского института театрального искусства, режиссёр-постановщик спектаклей и оперетт, с 1994 года и до своей смерти — был ведущим и художественным руководителем еженедельной всероссийской телевизионной лотереи «Русское лото».",,,
"https://ru.wikipedia.org/wiki/%D0%91%D1%80%D1%8E%D1%85%D0%B0%D0%BD%D0%BE%D0%B2,_%D0%92%D0%B0%D0%BB%D0%B5%D1%80%D0%B8%D0%B9_%D0%9C%D0%B8%D1%85%D0%B0%D0%B9%D0%BB%D0%BE%D0%B2%D0%B8%D1%87","Брюханов, Валерий Михайлович","Валерий Михайлович Брюханов (1 января 1945, Барнаул, Российская Федерация — 2 августа 2020[1]) — российский нефролог, доктор медицинских наук, профессор Алтайского государственного медицинского университета[2].",1988,Гервазиев Виктор Борисович,Игорь Петрович Салдан
"https://ru.wikipedia.org/wiki/%D0%91%D1%83%D1%80%D0%B8%D0%BB%D0%B8%D1%87%D0%B5%D0%B2,_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B5%D0%B9_%D0%92%D0%B8%D1%82%D0%B0%D0%BB%D1%8C%D0%B5%D0%B2%D0%B8%D1%87","Буриличев, Алексей Витальевич","Алексей Витальевич Буриличев (13 августа 1958, Ленинград, РСФСР, СССР — 25 ноября 2020, Москва[1][2]) — советский и российский военачальник, подводник. Начальник Главного управления глубоководных исследований Министерства обороны Российской Федерации (2005—2020), вице-адмирал (2006). Герой Российской Федерации (1996).",13 августа 1958(1958-08-13),25 ноября 2020(2020-11-25) (62 года),"Москва, Россия"
"https://ru.wikipedia.org/wiki/%D0%91%D1%83%D1%85%D1%82%D0%BE%D1%8F%D1%80%D0%BE%D0%B2,_%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B9_%D0%98%D0%B2%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87","Бухтояров, Николай Иванович","Николай Иванович Бухтояров (1959—2020) — советский и российский учёный, педагог и организатор науки, доктор экономических наук, доцент. Ректор Воронежского государственного аграрного университета (2015—2020).",1 июля 2015,"Котарев, Вячеслав Иванович","Попов, Алексей Юрьевич"
"https://ru.wikipedia.org/wiki/%D0%91%D1%8B%D1%88%D0%BE%D0%B2,_%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B9_%D0%92%D0%BB%D0%B0%D0%B4%D0%B8%D0%BC%D0%B8%D1%80%D0%BE%D0%B2%D0%B8%D1%87","Бышов, Николай Владимирович","Николай Владимирович Бышов (1963—2020) — советский и российский учёный, педагог и организатор науки в области механизации сельскохозяйственного производства, доктор технических наук (2000), профессор (2001). Заслуженный работник высшей школы Российской Федерации (2010). Ректор Рязанского государственного агротехнологического университета имени П. А. Костычева (2010—2020).",2010,"Туников, Геннадий Михайлович","Борычев, Сергей Николаевич (и. о.)"
https://ru.wikipedia.org/wiki/%D0%92%D0%B0%D1%80%D0%BD%D0%B0%D0%B2%D0%B0_(%D0%9A%D0%B5%D0%B4%D1%80%D0%BE%D0%B2),Варнава (Кедров),"Митрополи́т Варна́ва (в миру Влади́мир Ви́кторович Ке́дров; 21 апреля 1931, село Высокое, Рязанский район, Рязанская область, СССР — 1 июня 2020, Чебоксары, Россия) — епископ Русской православной церкви. Митрополит Чебоксарский и Чувашский (1976—2020). Глава Чувашской митрополии (2012—2020). Лауреат Государственной премии Российской Федерации (2000).",30 ноября 1976 года — 1 июня 2020 года,Русская православная церковь,Вениамин (Новицкий)
"https://ru.wikipedia.org/wiki/%D0%92%D0%B0%D1%81%D0%B8%D0%BB%D1%8C%D0%B5%D0%B2,_%D0%90%D0%BD%D0%B4%D1%80%D0%B5%D0%B9_%D0%AE%D1%80%D1%8C%D0%B5%D0%B2%D0%B8%D1%87_(%D1%80%D0%B5%D0%B6%D0%B8%D1%81%D1%81%D1%91%D1%80)","Васильев, Андрей Юрьевич (режиссёр)","Андре́й Ю́рьевич Васи́льев (16 октября 1960, Свердловск, СССР — 10 июня 2020, Химки, Московская область) — российский писатель, драматург, актёр, режиссёр, педагог[1].",23 августа 1960(1960-08-23),12 июня 2020(2020-06-12) (59 лет),"Химки, Московская область, Россия"
"https://ru.wikipedia.org/wiki/%D0%92%D0%B0%D1%81%D0%B8%D0%BB%D1%8C%D0%B5%D0%B2,_%D0%94%D0%BC%D0%B8%D1%82%D1%80%D0%B8%D0%B9_%D0%94%D0%BC%D0%B8%D1%82%D1%80%D0%B8%D0%B5%D0%B2%D0%B8%D1%87_(%D0%B8%D1%81%D1%82%D0%BE%D1%80%D0%B8%D0%BA)","Васильев, Дмитрий Дмитриевич (историк)","Дми́трий Дми́триевич Васи́льев (11 октября 1946 — 18 января 2021[1]) — российский востоковед, тюрколог, организатор науки, руководитель эпиграфических экспедиций ИВ РАН по исследованию памятников древнетюркской письменности в Южной Сибири, заведующий Отделом истории Востока ИВ РАН (1993—2021), вице-президент Общества востоковедов РАН, член-корреспондент РАЕН, заслуженный деятель науки Республики Тыва, почетный член Турецкого лингвистического общества.",11 октября 1946(1946-10-11),18 января 2021(2021-01-18) (74 года),"Москва, Россия"
"https://ru.wikipedia.org/wiki/%D0%92%D0%B5%D0%B4%D0%B5%D1%80%D0%BD%D0%B8%D0%BA%D0%BE%D0%B2,_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80%D0%BE%D0%B2%D0%B8%D1%87","Ведерников, Александр Александрович","Алекса́ндр Алекса́ндрович Веде́рников (11 января 1964, Москва — 30 октября 2020, там же[1]) — советский и российский дирижёр. Заслуженный деятель искусств Российской Федерации (2007).",11 января 1964(1964-01-11),30 октября 2020(2020-10-30) (56 лет),"Москва, Россия"
https://ru.wikipedia.org/wiki/%D0%92%D0%B5%D0%BD%D0%B8%D0%B0%D0%BC%D0%B8%D0%BD_(%D0%9A%D0%BE%D1%80%D0%BE%D0%BB%D1%91%D0%B2),Вениамин (Королёв),"Епи́скоп Вениами́н (в миру Ви́ктор Анато́льевич Королёв; 26 октября 1965, село Верхососенье, Покровский район, Орловская область — 26 апреля 2020, Курск) — епископ Русской православной церкви, епископ Железногорский и Льговский (2012—2020).",1 сентября 2012 — 26 апреля 2020,Русская православная церковь,должность учреждена
